fuse,lc4032ze\pull\glb0\mc14\OFF.jed,lc4032ze\pull\glb0\mc14\UP.jed,lc4032ze\pull\glb0\mc14\DOWN.jed,lc4032ze\pull\glb0\mc14\HOLD.jed
95:163,0,0,1,1
96:163,1,0,1,0
