fuse,lc4032ze\pull\glb0\mc3\OFF.jed,lc4032ze\pull\glb0\mc3\UP.jed,lc4032ze\pull\glb0\mc3\DOWN.jed,lc4032ze\pull\glb0\mc3\HOLD.jed
95:104,0,0,1,1
96:104,1,0,1,0
