fuse,lc4032ze\pull\glb0\mc8\OFF.jed,lc4032ze\pull\glb0\mc8\UP.jed,lc4032ze\pull\glb0\mc8\DOWN.jed,lc4032ze\pull\glb0\mc8\HOLD.jed
95:133,0,0,1,1
96:133,1,0,1,0
