fuse,lc4032ze\pull\glb0\mc6\OFF.jed,lc4032ze\pull\glb0\mc6\UP.jed,lc4032ze\pull\glb0\mc6\DOWN.jed,lc4032ze\pull\glb0\mc6\HOLD.jed
95:123,0,0,1,1
96:123,1,0,1,0
