fuse,lc4032ze\pull\glb0\mc0\OFF.jed,lc4032ze\pull\glb0\mc0\UP.jed,lc4032ze\pull\glb0\mc0\DOWN.jed,lc4032ze\pull\glb0\mc0\HOLD.jed
95:93,0,0,1,1
96:93,1,0,1,0
