fuse,lc4032ze\pull\glb0\mc13\OFF.jed,lc4032ze\pull\glb0\mc13\UP.jed,lc4032ze\pull\glb0\mc13\DOWN.jed,lc4032ze\pull\glb0\mc13\HOLD.jed
95:154,0,0,1,1
96:154,1,0,1,0
