fuse,lc4032ze\pull\glb0\mc2\OFF.jed,lc4032ze\pull\glb0\mc2\UP.jed,lc4032ze\pull\glb0\mc2\DOWN.jed,lc4032ze\pull\glb0\mc2\HOLD.jed
95:103,0,0,1,1
96:103,1,0,1,0
