fuse,lc4032ze\pull\glb0\mc9\OFF.jed,lc4032ze\pull\glb0\mc9\UP.jed,lc4032ze\pull\glb0\mc9\DOWN.jed,lc4032ze\pull\glb0\mc9\HOLD.jed
95:134,0,0,1,1
96:134,1,0,1,0
