fuse,lc4032ze\pull\glb0\mc1\OFF.jed,lc4032ze\pull\glb0\mc1\UP.jed,lc4032ze\pull\glb0\mc1\DOWN.jed,lc4032ze\pull\glb0\mc1\HOLD.jed
95:94,0,0,1,1
96:94,1,0,1,0
