fuse,lc4032ze\pull\glb0\mc15\OFF.jed,lc4032ze\pull\glb0\mc15\UP.jed,lc4032ze\pull\glb0\mc15\DOWN.jed,lc4032ze\pull\glb0\mc15\HOLD.jed
95:164,0,0,1,1
96:164,1,0,1,0
