pin,type,bank,glb,mc,oe,clk
1,tdi,,,,,
2,io,0,0,10,,
3,io,0,0,12,,
4,io,0,0,14,,
5,gnd,,,,,
6,vcco,0,,,,
7,io,0,1,0,,
8,io,0,1,2,,
9,io,0,1,4,,
10,tck,,,,,
11,vcc_core,,,,,
12,gnd,,,,,
13,io,0,1,8,,
14,io,0,1,10,,
15,io,0,1,12,,
16,io,0,1,14,,
17,clock,1,2,,,2
18,io,1,2,0,,
19,io,1,2,2,,
20,io,1,2,4,,
21,io,1,2,6,,
22,io,1,2,8,,
23,tms,,,,,
24,io,1,2,10,,
25,io,1,2,12,,
26,io,1,2,14,,
27,gnd,,,,,
28,vcco,1,,,,
29,io,1,3,0,,
30,io,1,3,2,,
31,io,1,3,4,,
32,tdo,,,,,
33,vcc_core,,,,,
34,gnd,,,,,
35,io,1,3,8,,
36,io,1,3,10,,
37,io,1,3,12,,
38,io,1,3,14,1,
39,clock,0,0,,,0
40,io,0,0,0,0,
41,io,0,0,2,,
42,io,0,0,4,,
43,io,0,0,6,,
44,io,0,0,8,,
