fuse,lc4032ze\grp\gi19\glb0\pin_7.jed,lc4032ze\grp\gi19\glb0\pin_41.jed,lc4032ze\grp\gi19\glb0\fb_A4.jed,lc4032ze\grp\gi19\glb0\fb_A8.jed,lc4032ze\grp\gi19\glb0\pin_19.jed,lc4032ze\grp\gi19\glb0\pin_2.jed
38:87,0,1,1,1,1,1
39:86,1,0,1,1,1,1
