fuse,lc4032ze\grp\gi19\glb1\pin_7.jed,lc4032ze\grp\gi19\glb1\pin_41.jed,lc4032ze\grp\gi19\glb1\fb_A4.jed,lc4032ze\grp\gi19\glb1\fb_A8.jed,lc4032ze\grp\gi19\glb1\pin_19.jed,lc4032ze\grp\gi19\glb1\pin_2.jed
38:1,0,1,1,1,1,1
39:0,1,0,1,1,1,1
