fuse,lc4032ze\xor\glb1\mc0\normal.jed,lc4032ze\xor\glb1\mc0\invert.jed,lc4032ze\xor\glb1\mc0\xor_pt0.jed,lc4032ze\xor\glb1\mc0\xor_npt0.jed
72:7,1,1,0,0
73:7,0,1,0,1
