fuse,lc4032ze\xor\glb1\mc7\normal.jed,lc4032ze\xor\glb1\mc7\invert.jed,lc4032ze\xor\glb1\mc7\xor_pt0.jed,lc4032ze\xor\glb1\mc7\xor_npt0.jed
72:38,1,1,0,0
73:38,0,1,0,1
