fuse,lc4032ze\xor\glb1\mc4\normal.jed,lc4032ze\xor\glb1\mc4\invert.jed,lc4032ze\xor\glb1\mc4\xor_pt0.jed,lc4032ze\xor\glb1\mc4\xor_npt0.jed
72:27,1,1,0,0
73:27,0,1,0,1
