fuse,lc4032ze\xor\glb1\mc15\normal.jed,lc4032ze\xor\glb1\mc15\invert.jed,lc4032ze\xor\glb1\mc15\xor_pt0.jed,lc4032ze\xor\glb1\mc15\xor_npt0.jed
72:78,1,1,0,0
73:78,0,1,0,1
