fuse,lc4032ze\xor\glb1\mc1\normal.jed,lc4032ze\xor\glb1\mc1\invert.jed,lc4032ze\xor\glb1\mc1\xor_pt0.jed,lc4032ze\xor\glb1\mc1\xor_npt0.jed
72:8,1,1,0,0
73:8,0,1,0,1
