fuse,lc4032ze\xor\glb1\mc12\normal.jed,lc4032ze\xor\glb1\mc12\invert.jed,lc4032ze\xor\glb1\mc12\xor_pt0.jed,lc4032ze\xor\glb1\mc12\xor_npt0.jed
72:67,1,1,0,0
73:67,0,1,0,1
