fuse,lc4032ze\xor\glb1\mc2\normal.jed,lc4032ze\xor\glb1\mc2\invert.jed,lc4032ze\xor\glb1\mc2\xor_pt0.jed,lc4032ze\xor\glb1\mc2\xor_npt0.jed
72:17,1,1,0,0
73:17,0,1,0,1
