fuse,lc4032ze\xor\glb1\mc14\normal.jed,lc4032ze\xor\glb1\mc14\invert.jed,lc4032ze\xor\glb1\mc14\xor_pt0.jed,lc4032ze\xor\glb1\mc14\xor_npt0.jed
72:77,1,1,0,0
73:77,0,1,0,1
